atc_4|atc_4_desc
S01CC|Antiinflammatory agents, non-steroids and antiinfectives in combination
S01EA|Sympathomimetics in glaucoma therapy
S01EB|Parasympathomimetics
S01EC|Carbonic anhydrase inhibitors
S01ED|Beta blocking agents
S01EE|Prostaglandin analogues
S01EX|Other antiglaucoma preparations
S01FA|Anticholinergics
S01FB|Sympathomimetics excl. antiglaucoma preparations
S01GA|Sympathomimetics used as decongestants
S01GX|Other antiallergics
S01HA|Local anesthetics
S01JA|Colouring agents
S01JX|Other ophthalmological diagnostic agents
S01KA|Viscoelastic substances
S01KX|Other surgical aids
S01LA|Antineovascularisation agents
S01XA|Other ophthalmologicals
S02AA|Antiinfectives
S02BA|Corticosteroids
S02CA|Corticosteroids and antiinfectives in combination
S02DA|Analgesics and anesthetics
S02DC|Indifferent preparations
S03AA|Antiinfectives
S03BA|Corticosteroids
S03CA|Corticosteroids and antiinfectives in combination
V01AA|Allergen extracts
V03AB|Antidotes
V03AC|Iron chelating agents
V03AE|Drugs for treatment of hyperkalemia and hyperphosphatemia
V03AF|Detoxifying agents for antineoplastic treatment
V03AG|Drugs for treatment of hypercalcemia
V03AH|Drugs for treatment of hypoglycemia
V03AK|Tissue adhesives
V03AM|Drugs for embolisation
V03AN|Medical gases
V03AX|Other therapeutic products
V03AZ|Nerve depressants
V04CA|Tests for diabetes
V04CB|Tests for fat absorption
V04CC|Tests for bile duct patency
V04CD|Tests for pituitary function
V04CE|Tests for liver functional capacity
V04CF|Tuberculosis diagnostics
V04CG|Tests for gastric secretion
V04CH|Tests for renal function and ureteral injuries
V04CJ|Tests for thyreoidea function
V04CK|Tests for pancreatic function
V04CL|Tests for allergic diseases
V04CM|Tests for fertility disturbances
V04CX|Other diagnostic agents
V06AA|Low-energy diets
V06CA|Nutrients without phenylalanine
V06DA|Carbohydrates/proteins/minerals/vitamins, combinations
V06DB|Fat/carbohydrates/proteins/minerals/vitamins, combinations
V06DC|Carbohydrates
V06DD|Amino acids, incl. combinations with polypeptides
V06DE|Amino acids/carbohydrates/minerals/vitamins, combinations
V06DF|Milk substitutes
V06DX|Other combinations of nutrients
V07AA|Plasters
V07AB|Solvents and diluting agents, incl. irrigating solutions
V07AC|Blood transfusion, auxiliary products
V07AD|Blood tests, auxiliary products
V07AN|Incontinence equipment
V07AR|Sensitivity tests, discs and tablets
V07AS|Stomi equipment
V07AT|Cosmetics
V07AV|Technical disinfectants
V07AX|Washing agents etc.
V07AY|Other non-therapeutic auxiliary products
V07AZ|Chemicals and reagents for analysis
V08AA|Watersoluble, nephrotropic, high osmolar X-ray contrast media
V08AB|Watersoluble, nephrotropic, low osmolar X-ray contrast media
V08AC|Watersoluble, hepatotropic X-ray contrast media
V08AD|Non-watersoluble X-ray contrast media
V08BA|Barium sulfate containing X-ray contrast media
V08CA|Paramagnetic contrast media
V08CB|Superparamagnetic contrast media
V08CX|Other magnetic resonance imaging contrast media
V08DA|Ultrasound contrast media
V09AA|Technetium (99mTc) compounds
V09AB|Iodine (123I) compounds
V09AX|Other central nervous system diagnostic radiopharmaceuticals
V09BA|Technetium (99mTc) compounds
V09CA|Technetium (99mTc) compounds
V09CX|Other renal system diagnostic radiopharmaceuticals
V09DA|Technetium (99mTc) compounds
V09DB|Technetium (99mTc), particles and colloids
V09DX|Other hepatic and reticulo endothelial system diagnostic radiopharmaceuticals
V09EA|Technetium (99mTc), inhalants
V09EB|Technetium (99mTc), particles for injection
V09EX|Other respiratory system diagnostic radiopharmaceuticals
V09FX|Various thyroid diagnostic radiopharmaceuticals
V09GA|Technetium (99mTc) compounds
V09GB|Iodine (125I) compounds
V09GX|Other cardiovascular system diagnostic radiopharmaceuticals
V09HA|Technetium (99mTc) compounds
V09HB|Indium (111In) compounds
V09HX|Other diagnostic radiopharmaceuticals for inflammation and infection detection
V09IA|Technetium (99mTc) compounds
V09IB|Indium (111In) compounds
V09IX|Other diagnostic radiopharmaceuticals for tumour detection
V09XA|Iodine (131I) compounds
V09XX|Various diagnostic radiopharmaceuticals
V10AA|Yttrium (90Y) compounds
V10AX|Other antiinflammatory therapeutic radiopharmaceuticals
V10BX|Various pain palliation radiopharmaceuticals
V10XA|Iodine (131I) compounds
V10XX|Various therapeutic radiopharmaceuticals
